SAMPLE_ID,individual,chromosome,start_pos,end_pos,Prediction,Population,Lat,Lon,Country,Continent,Admixture3,Admixture1,Admixture6,Admixture8,Admixture2,Admixture5,Admixture7,Admixture4,Admixture9
HGDP00001,1,1,1061166,50722989,Tajikistan_3,Brahui,40.2951522771689,64.5226891636706,Uzbekistan,Asia,0.02973,0.155551,0.055535,0.360164,0.087272,0.077345,0.001003,0.211396,0.022004
HGDP00001,1,1,50757885,100050789,Iran_3,Brahui,35.2113334021058,48.7734336931352,"Iran, Islamic Republic of",Asia,0.012658,0.408897,1e-05,0.341255,0.053984,0.001896,0.068427,0.029321,0.083551
HGDP00001,1,1,100051668,185344764,Iran_1,Brahui,34.5780053379544,52.9834234640423,"Iran, Islamic Republic of",Asia,1e-05,0.33574,0.002434,0.412375,1e-05,0.069287,0.040287,0.04842,0.091436
HGDP00001,1,1,185410975,230894365,Gujarati_1,Brahui,26.5816449205401,71.7682117362551,India,Asia,1e-05,0.207126,1e-05,0.605638,1e-05,0.074137,0.113049,1e-05,1e-05
HGDP00001,1,2,12589208,50975185,Iran_4,Brahui,33.4966526150742,55.8201415775959,"Iran, Islamic Republic of",Asia,0.00467,0.32324,1e-05,0.421604,1e-05,1e-05,0.166671,1e-05,0.083775
HGDP00001,1,2,50976485,103123301,Iran_3,Brahui,33.3121599529748,51.394803944737,"Iran, Islamic Republic of",Asia,0.048378,0.513091,1e-05,0.404155,0.030714,1e-05,0.003622,1e-05,1e-05
HGDP00001,1,2,103176411,153872845,Iran_4,Brahui,34.1459132832972,57.9843920962771,"Iran, Islamic Republic of",Asia,1e-05,0.27002,1e-05,0.458289,0.131442,0.028333,0.058715,0.01979,0.033391
HGDP00001,1,2,153881453,205974111,Iran_1,Brahui,34.3188636501971,51.6936087064959,"Iran, Islamic Republic of",Asia,1e-05,0.384844,1e-05,0.436487,0.032416,1e-05,0.141991,1e-05,0.004223
HGDP00001,1,3,3846526,46150400,Iran_1,Brahui,35.6299759714044,49.7741630669338,"Iran, Islamic Republic of",Asia,0.075935,0.400065,0.005014,0.347786,0.040782,1e-05,0.058514,0.0305,0.041394
HGDP00001,1,3,46310921,112066141,Iran_4,Brahui,32.7546974972952,61.7928696337479,Afghanistan,Asia,0.164093,0.255487,0.008303,0.493557,1e-05,1e-05,0.072963,0.002386,0.00319
HGDP00001,1,3,112072833,169212367,Iran_1,Brahui,33.7805260734682,52.9507019289671,"Iran, Islamic Republic of",Asia,1e-05,0.379453,0.05522,0.444248,1e-05,1e-05,0.079715,0.030822,0.010511
HGDP00001,1,4,18473310,122659704,Iran_4,Brahui,33.496875033685,54.300153092777,"Iran, Islamic Republic of",Asia,1e-05,0.332012,1e-05,0.457612,0.037909,0.010606,0.102755,0.059076,1e-05
HGDP00001,1,4,122744067,185788762,Iran_1,Brahui,34.6313863585851,52.2254962240847,"Iran, Islamic Republic of",Asia,1e-05,0.3946,1e-05,0.418186,0.011464,1e-05,0.081187,0.094524,1e-05
HGDP00001,1,5,123302367,175059713,Tajikistan_4,Brahui,37.1059948297925,66.2464855565056,Afghanistan,Asia,1e-05,0.196988,1e-05,0.464532,0.07174,0.067278,0.010644,0.188788,1e-05
HGDP00001,1,6,42659979,115932103,Iran_4,Brahui,32.678696657326,55.6473975788465,"Iran, Islamic Republic of",Asia,0.013137,0.288784,0.012355,0.502596,0.061626,1e-05,0.081065,0.040417,1e-05
HGDP00001,1,7,3609712,146984783,Iran_4,Brahui,34.01609735297317,53.72773466945498,"Iran, Islamic Republic of",Asia,1e-05,0.3421785,0.0256445,0.443098,0.0272895,0.026026,0.1060035,0.0259245,0.0038255
HGDP00001,1,8,29802727,98945834,Iran_4,Brahui,30.2498506013012,63.8861303083196,Afghanistan,Asia,0.05986,0.217966,1e-05,0.558139,1e-05,0.025356,0.090456,0.007432,0.040772
HGDP00001,1,9,1355061,75201354,Tajikistan_4,Brahui,38.3164039537912,68.2330171241232,Tajikistan,Asia,0.078599,0.201153,0.03696,0.415287,0.030616,1e-05,0.012082,0.202831,0.022463
HGDP00001,1,9,75206337,120088933,Tajikistan_1,Brahui,39.8028330348422,61.4773488690876,Turkmenistan,Asia,0.020224,0.212017,1e-05,0.331973,0.085265,1e-05,0.089938,0.202481,0.058082
HGDP00003,2,1,1061166,50722989,Tajikistan_3,Brahui,39.8078864789162,63.656007923292,Uzbekistan,Asia,1e-05,0.186625,1e-05,0.373163,0.116926,1e-05,0.017706,0.21886,0.08669
HGDP00003,2,1,50757885,100050789,Iran_1,Brahui,36.3501363776551,52.0693941990047,"Iran, Islamic Republic of",Asia,0.042354,0.333966,1e-05,0.331303,0.048742,1e-05,0.139843,0.053456,0.050315
HGDP00003,2,1,100051668,185344764,Iran_1,Brahui,34.0755776657532,50.5016883322833,"Iran, Islamic Republic of",Asia,0.015655,0.383421,0.031642,0.399271,0.044322,1e-05,1e-05,1e-05,0.125659
HGDP00003,2,1,185410975,230894365,Gujarati_1,Brahui,25.1942468455387,75.0630756539845,India,Asia,1e-05,0.107438,1e-05,0.517558,0.020665,0.01915,0.22074,0.098742,0.015687
HGDP00003,2,2,12589208,50975185,Iran_3,Brahui,34.9548668830623,48.3741832649179,"Iran, Islamic Republic of",Asia,1e-05,0.413076,1e-05,0.341063,1e-05,0.007725,0.16153,1e-05,0.076566
HGDP00003,2,2,50976485,103123301,Gujarati_1,Brahui,27.5195682080561,73.0708982059653,India,Asia,1e-05,0.089796,1e-05,0.621137,1e-05,1e-05,0.054542,0.148722,0.085763
HGDP00003,2,2,103176411,205974111,Tajikistan_1,Brahui,36.928300386351815,62.74013456419465,Turkmenistan,Asia,0.0054884999999999,0.2603605,0.0170015,0.421684,0.0725665,0.0215465,0.0326715,0.1576395,0.011041
HGDP00003,2,3,3846526,112066141,Iran_4,Brahui,33.07798379638274,54.21885094667474,"Iran, Islamic Republic of",Asia,0.0166825,0.347847,0.030837,0.5561205,1e-05,0.0052039999999999,0.0207815,1e-05,0.022508
HGDP00003,2,3,112072833,169212367,Tajikistan_3,Brahui,39.1573500235594,67.1380748574214,Uzbekistan,Asia,0.065407,0.137187,0.023183,0.415156,1e-05,1e-05,0.083865,0.275172,1e-05
HGDP00003,2,4,18473310,122659704,Tajikistan_1,Brahui,37.4025887859371,57.8204924730379,"Iran, Islamic Republic of",Asia,0.148479,0.282364,1e-05,0.3299,0.078266,0.00782,1e-05,0.074972,0.078179
